"id","squareMeters","rooms1","rooms2","rooms3","centreDistance","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","ownership","buildingMaterial","condition","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","first_floor","top_floor","age","block","apartmentB","tenement","stolica"
"2cebfc6cd7577e298cee45b489ed7f52",110,0,0,1,520,250,177,188,263,83,377,31,"1","1","0","1","0","1","0","1",2849000,0,0,113,0,0,1,1
"bfb770664e4e50c1abb363884fc518d9",63.5,0,1,0,6920,132,657,374,166,430,2536,100,"0","0","0","0","1","1","0","0",699500,0,0,39,1,0,0,1
"90a89b0aeb4e538e81fe460ebdaaf0bd",37.58,1,0,0,6320,329,91,566,536,49,1939,100,"1","1","1","0","1","1","0","0",860000,0,1,12,0,1,0,1
"082270902f79fd801e029d2e9b5498f6",27.46,1,0,0,2900,174,929,128,89,31,664,301,"1","1","1","0","1","1","0","0",685999,0,0,8,0,1,0,1
"ba04d8c2be5eee66bd959ae457aa8e68",68,0,1,0,5710,226,968,435,81,72,944,34,"1","1","1","1","0","1","0","0",1250000,1,0,9,0,1,0,1
"ae9b36bbf188cc13ab55d216c6d9303a",55.2,1,0,0,2310,99,483,468,364,246,569,184,"1","1","1","1","1","1","1","1",1440000,0,0,15,0,1,0,1
"38be208dd51cf37d10c22b61a1d29cb7",43.37,1,0,0,2300,542,568,457,639,194,1118,511,"1","1","1","1","1","0","1","1",997510,0,0,5,0,1,0,1
"af4ca70743f1758a48c99326aa0422bd",56,0,1,0,6730,251,338,526,142,353,1225,391,"1","1","0","0","1","0","0","1",785000,0,0,64,1,0,0,1
"8dda8d4254fb1a703c1f4ea6cc873e98",63,0,1,0,930,202,258,315,277,61,835,71,"1","0","0","0","1","1","0","0",1000000,0,0,36,1,0,0,1
"b06f3389ac1dadb239572e63e777aec1",40,1,0,0,3760,104,24,276,181,177,1309,279,"1","1","1","1","0","0","0","0",996000,1,0,14,0,1,0,1
"f5908afcb0b2686dbe7d0e70a85531fd",76.3,0,1,0,8690,368,437,527,261,415,1061,447,"1","1","1","1","1","1","0","0",1640000,1,0,11,0,1,0,1
"06013788d4cdc0fcaa8187596c07e2fa",42,1,0,0,6550,611,777,279,475,280,2250,430,"1","0","1","0","1","1","0","1",515000,0,1,38,1,0,0,1
"a2dbfefe132556c32438f2a49868d1d1",79.3,0,1,0,3920,159,273,157,77,171,1343,172,"1","1","1","0","1","1","0","1",2061800,0,1,19,0,1,0,1
"8d0ec40713854017a8f8c51dfbd13075",83.27,0,1,0,4240,149,243,573,424,209,2146,175,"1","1","1","0","0","1","1","0",1500000,0,0,19,0,1,0,1
"bcc5bdb71d24850144c07c986f2b1c4a",58.94,1,0,0,4750,363,97,441,103,62,770,41,"1","1","1","1","1","1","0","0",1190000,0,0,18,0,1,0,1
"75cdc5046093a266403664c388569804",39,1,0,0,1880,126,381,346,153,30,826,344,"1","0","0","0","1","1","0","0",800000,0,0,62,1,0,0,1
"b3b521874668a480fbfefa19e04f5f93",77.62,0,1,0,7880,1203,186,686,141,126,3532,245,"0","1","1","1","1","1","0","0",1199000,0,0,8,0,1,0,1
"fea64d5f17c93a02c2422b01d724d750",63,0,1,0,2460,235,246,334,264,273,1242,313,"1","1","1","0","1","0","0","0",960000,0,0,84,0,0,1,1
"9d722c9b855d056f11dbda83c49edc65",68.03,0,1,0,15480,471,756,586,389,262,1077,291,"1","1","1","1","1","1","0","0",985000,0,0,3,0,1,0,1
"5eb31d46196fdc76a27a339fd8890145",72,0,1,0,630,243,131,260,274,59,229,142,"1","1","0","0","0","1","0","1",1460000,1,0,94,0,0,1,1
"9eed4f56a648a7e2410c1e1113f9a6fd",66.83,0,1,0,3350,207,333,407,141,297,597,45,"1","1","0","0","1","0","0","0",980000,0,1,66,0,0,1,1
"402fe4830153b9fcbfd23270f1a78329",73.12,0,1,0,8940,604,785,807,650,57,2486,794,"1","1","1","1","0","1","0","0",1412000,0,0,5,0,1,0,1
"9247bfbaee610ce8845ff6ad9009c586",37.51,1,0,0,2320,60,1248,538,247,110,1189,96,"0","0","0","0","1","1","0","1",719000,0,0,56,1,0,0,1
"962836dd5090009ca52dcf9b46d798cc",74.1,0,1,0,11610,341,404,248,369,367,400,297,"0","0","0","0","1","0","0","1",997000,0,0,39,1,0,0,1
"30e5e773f4f28aaf58c907446a9c4c03",45.6,1,0,0,8660,509,1375,314,88,7,2192,157,"1","1","1","1","0","1","0","0",889200,0,0,8,0,1,0,1
"3ecf0d477ac2509baf1e4de42b08fee4",60.72,0,1,0,1430,340,307,273,139,68,226,164,"0","1","0","0","0","1","0","0",999000,0,1,64,0,0,1,1
"ccbcd228c7974358050fe7841aee063a",67.5,0,1,0,1030,44,163,203,193,104,1124,100,"1","1","0","0","1","1","0","0",1275750,0,1,19,0,1,0,1
"b0ea6bb5a5bf3dad6f067e905adbfa08",137.5,0,0,1,1190,127,300,94,123,16,139,99,"1","1","0","0","0","1","0","0",3150000,1,0,96,0,0,1,1
"4c7ab39884380f61d2c6487ebc732373",62.46,0,1,0,7850,380,1214,333,286,77,1171,613,"1","1","1","1","1","1","0","0",1299999,0,0,5,0,1,0,1
"4d584ee88ed8cbd48cb8287e0390fac8",49.4,0,1,0,7210,361,928,600,203,611,2554,394,"1","0","0","0","0","1","0","1",799000,0,0,28,1,0,0,1
